baseline_model,representation,subset,MAE_mean,baseline_representation,baseline_MAE_mean,relative_improvement_vs_baseline_%
orb-v3,orb-v3-baseline,unique_prototype,0.011539300959002,orb-v3-baseline,0.011539300959002,0.0
orb-v3,MDS_E_32_cos_zscore,unique_prototype,0.0115422077109284,orb-v3-baseline,0.011539300959002,-0.02519001746056764
orb-v3,MDS_32_cos_zscore,unique_prototype,0.0115430909093436,orb-v3-baseline,0.011539300959002,-0.03284384691121853
orb-v3,MDS_F_32_cos_zscore,unique_prototype,0.0115435875823568,orb-v3-baseline,0.011539300959002,-0.03714803323034211
orb-v3,MDS_F_64_cos_zscore,unique_prototype,0.0115437988863951,orb-v3-baseline,0.011539300959002,-0.038979201678519204
orb-v3,MDS_64_cos_zscore,unique_prototype,0.0115438300364246,orb-v3-baseline,0.011539300959002,-0.0392491489622343
orb-v3,mat2vec+S64,unique_prototype,0.0115439192809596,orb-v3-baseline,0.011539300959002,-0.040022545334498894
orb-v3,mat2vec+H64,unique_prototype,0.011544027926473,orb-v3-baseline,0.011539300959002,-0.04096407128816006
orb-v3,mat2vec+L64,unique_prototype,0.0115442029398366,orb-v3-baseline,0.011539300959002,-0.042480743435127984
orb-v3,mat2vec+L32,unique_prototype,0.0115445560975934,orb-v3-baseline,0.011539300959002,-0.04554122134495536
orb-v3,mat2vec,unique_prototype,0.0115445983680574,orb-v3-baseline,0.011539300959002,-0.045907538716785615
orb-v3,mat2vec+H32,unique_prototype,0.0115446281119745,orb-v3-baseline,0.011539300959002,-0.046165300579534684
orb-v3,mat2vec+S32,unique_prototype,0.0115446908425338,orb-v3-baseline,0.011539300959002,-0.04670892587817297
orb-v3,MDS_E_64_cos_zscore,unique_prototype,0.0115451654690607,orb-v3-baseline,0.011539300959002,-0.05082205654862185
